Department, Position
Fire Administration, Fire Inspector
Fire Administration, Deputy Fire Chief
Fire Administration, Fire Battalion Chief-40 hr
Fire Administration, Fire Battalion Chief-40 Hr.
Fire Administration, Fire Battalion Chief
Fire Administration, Fire Bc Shift
Fire Administration, Fire Division Chief
Fire Administration, Director Fire & Life Safety
Fire Administration, Dir Fire & Life Safety
Fire Administration, Acting Fire Chief
Fire Administration, Fire Marshal
Fire Administration, Assistant Fire Chief
Fire Administration, Director Fire And Life Safety
Fire Administration, Fire Captain-40 Hr.
City Attorney                 , Assistant City Attorney  - Barbara Hamilton
City Attorney                 , City Attorney
City Attorney                 , Deputy City Attorney II 
City Attorney                 , Deputy City Attorney II  - Dborah Nash
City Attorney                 , Deputy City Attorney II  - Leslie Gallagher
City Attorney                 , Supervising Deputy City Attorney  - Tarquin Preziosi
City Attorney                 , Assistant City Attorney 
City Attorney                 , Supervising Deputy City Attorney 
Fire                          , Fire Battalion Chief (40 Hour)
Fire                          , Fire Battalion Chief (56 Hour)
Fire                          , Fire Captain (40 Hour)
Fire                          , Fire Captain (56 Hour)
Fire                          , Fire Chief 
Fire                          , Fire Engineer (56 Hour)
Fire                          , Fire Safety Specialist
Fire                          , Firefighter Paramedic (56 Hour)
Police                        , Police Cadet
Police                        , Police Captain  
Police                        , Police Chief 
Police                        , Police Lieutenant 
Police                        , Police Officer
Police                        , Police Records Manager
Police                        , Police Records Supervisor   
Police                        , Police Records Technician
Police                        , Police Sergeant
Police                        , Police Training Coordinator
Police                        , Senior Police Records Technician
Safety Services Department, Fire Captain
Safety Services Department, Fire Captain/Paramedic
Safety Services Department, Fire Division Chief
Safety Services Department, Fire Engineer
Safety Services Department, Fire Engineer/Paramedic
Safety Services Department, Firefighter/Paramedic
Safety Services Department, Senior Fire Safety Inspector
Safety Services Department, Fire Safety Inspector
Safety Services Department, Deputy Fire Chief
Safety Services Department, Fire Battalion Chief
Civil Service Approved Leave, Police Detective
Civil Service Approved Leave, Police Officer II
Development Services, Fire Prevention Inspector II
Development Services, Fire Prevention Inspector II/Civ
Development Services, Senior Engineer-Fire Protection
Development Services, Sr Engineer-Fire Protection
Development Services, Sr. Engineer-Fire Protection
Development Services, Asoc Eng-Fire Protection
Development Services, Associate Eng.-Fire Protection
Development Services, Associate Engineer - Fire Protection
Development Services, Senior Fire Protection Engineer
Ethics Commission, City Attorney Investigator
Ethics Commission, Senior City Attorney Investigator
Ethics Commission, Sr City Attorney Investigator
Fire Department, Assistant Fire Chief
Fire Department, Assistant Fire Marshal
Fire Department, Assistant To Fire Chief
Fire Department, Deputy Fire Chief
Fire Department, Fire Battalion Chief
Fire Department, Fire Captain
Fire Department, Fire Captain - Mast
Fire Department, Fire Chief
Fire Department, Fire Dispatch Administrator
Fire Department, Fire Dispatch Supervisor
Fire Department, Fire Dispatcher
Fire Department, Fire Engineer
Fire Department, Fire Engineer - Mast
Fire Department, Fire Fighter I
Fire Department, Fire Fighter II
Fire Department, Fire Helicopter Pilot
Fire Department, Fire Prevention Inspector I
Fire Department, Fire Prevention Inspector II
Fire Department, Fire Prevention Inspector II/Civ
Fire Department, Fire Prevention Supervisor
Fire Department, Fire Prevention Supervisor/Civilian
Fire Department, Fire Recruit
Fire Department, Director of Fire and Life Safety
Fire Department, Fire Division Chief
Fire Department, Fire Prevention Specialist
Fire Department, Temporary Fire Chief
Fire Department, Director Of Fire Life And Safety
Fire Department, Fire Captain/Paramedic
Fire Department, Fire Engineer/Paramedic
Fire Department, Firefighter
Fire Department, Firefighter Paramedic
Fire Department, Director Fire and Life Safety
Fire Department, Firefighter/Paramedic
Fire Department, Temporary Fire Prevention Technician
Fire Department, Deputy Fire Marshal
Fire Department, Paramedic/Firefighter
Fire Department, Fire Captain (Shift)
Fire Department, Fire Engineer  + Paramedic
Fire Department, Firefighter + Paramedic
Fire Department, Temp Fire Prevention Tech
Fire Department, Fire Engineer / Paramedic
Fire Department, Firefighter / Paramedic
Homeland Security, Police Sergeant
Police Department, Assistant Police Chief
Police Department, Assistant To Police Chief/Civilian
Police Department, Conf Secretary To Police Chief
Police Department, Executive Assistant Police Chief
Police Department, Police Administrative Services Dir
Police Department, Police Agent (terminal)
Police Department, Police Captain
Police Department, Police Chief
Police Department, Police Code Compliance Officer
Police Department, Police Code Compliance Supervisor
Police Department, Police Detective
Police Department, Police Dispatch Administrator
Police Department, Police Dispatch Supervisor
Police Department, Police Dispatcher
Police Department, Police Investigative Aide II
Police Department, Police Lead Dispatcher
Police Department, Police Lieutenant
Police Department, Police Officer I
Police Department, Police Officer II
Police Department, Police Property & Evidence Clerk
Police Department, Police Records Clerk
Police Department, Police Records Data Specialist
Police Department, Police Records Data Specialist Supv
Police Department, Police Recruit
Police Department, Police Sergeant
Police Department, Police Service Officer I
Police Department, Police Service Officer II
Police Department, Senior Police Records Clerk
Police Department, Police Dispatcher Supv
Police Department, Police Officer
Police Department, Police Records Mgr.
Police Department, Police Records Specialist
Police Department, Police Records Supv
Police Department, Police Services Officer
Police Department, Secretary To Police Chief
Emergency Medical Services, Firefighter Paramedic
Emergency Medical Services," ""Fire Fighter/Paramedic A"
Emergency Medical Services, Fire Battalion Chief
Emergency Medical Services, Fire Fighter II
Emergency Medical Services, Firefighter/Paramedic
Emergency Medical Services, Deputy Fire Chief
Emergency Medical Services, Fire Captain
Emergency Medical Services, Fire Fighter 2
Emergency Medical Services, Firefighter II
Emergency Operations, Fire Captain
Emergency Operations, Fire Captain/Paramedic
Emergency Operations, Fire Engineer
Emergency Operations, Fire Engineer/Paramedic
Emergency Operations, Firefighter
Emergency Operations, Firefighter Paramedic
Emergency Operations, Fire Captain/Pm
Emergency Operations, Fire Engineer/Pm
Emergency Operations, Fire Battalion Chief
Emergency Operations, Fire Captain/ Paramedic
Emergency Operations, Fire Engineer /Paramedic
Emergency Operations, Fire Battalion Chief - Administrative
Fire Suppression, Fire Battalion Chief-56 hr
Fire Suppression, Fire Captain-56 hr
Fire Suppression, Fire Engineer
Fire Suppression," ""Fire Fighter/Paramedic A"
Fire Suppression, Firefighter/Paramedic
Fire Suppression, Fire Battalion Chief-56 Hr.
Fire Suppression, Fire Captain-40 Hr.
Fire Suppression, Fire Captain-56 Hr.
Fire Suppression, Fire Battalion Chief-56 Hr
Fire Suppression, Fire Captain-56 Hr
Fire Suppression, Fire Captain-40 Hr
Fire Suppression, Fire Battalion Chief-56 Hour
Fire Suppression, Fire Captain-40 Hour
Fire Suppression, Fire Captain-56 Hour
Fire Suppression," ""Fire Fighter/Pm A"
Fire Training, Fire Battalion Chief-40 hr
Fire Training, Fire Battalion Chief-40 Hr.
Fire Training, Fire Battalion Chief-40 Hr
Fire Training, Fire Battalion Chief-40 Hour
Redevelopment & Housing, Building Official/Fire Marshall
American Recovery & Reinvest. Act, Deputy City Attorney II
American Recovery & Reinvest. Act, Police Agent
American Recovery & Reinvest. Act, Police Comm Relations Spec
City Manager's Office, City Attorney
#N/A, Deputy City Attorney
#N/A, Fire Captain
#N/A, Fire Prevention Inspector II
Fire-Rescue, Assistant Fire Chief
Fire-Rescue, Assistant Fire Marshal
Fire-Rescue, Assistant to the Fire Chief
Fire-Rescue, Deputy Fire Chief
Fire-Rescue, Fire Battalion Chief
Fire-Rescue, Fire Captain
Fire-Rescue, Fire Captain (Emergency Management Coordinator)
Fire-Rescue, Fire Captain-Mast
Fire-Rescue, Fire Chief
Fire-Rescue, Fire Dispatch Administrator
Fire-Rescue, Fire Dispatch Supervisor
Fire-Rescue, Fire Dispatcher
Fire-Rescue, Fire Engineer
Fire-Rescue, Fire Engineer-Mast
Fire-Rescue, Fire Fighter I
Fire-Rescue, Fire Fighter II
Fire-Rescue, Fire Fighter III
Fire-Rescue, Fire Helicopter Pilot
Fire-Rescue, Fire Prevention Inspector II
Fire-Rescue, Fire Prevention Inspector II/Civil
Fire-Rescue, Fire Prevention Inspector II/Civilian
Fire-Rescue, Fire Prevention Supervisor
Fire-Rescue, Fire Prevention Supervisor/Civilian
Fire-Rescue, Assistant Fire Marshal/Civil
Fire-Rescue, Fire Prevention Supervisor/Civil
Fire-Rescue, Assistant Fire Marshal/Civ
Fire-Rescue, Fire Captain(Emer Mgmt. Coordinator)
Fire-Rescue, Fire Fighter 1
Fire-Rescue, Fire Fighter 2
Fire-Rescue, Fire Fighter 3
Fire-Rescue, Fire Prevention Inspector 2
Fire-Rescue, Fire Prevention Inspector 2/Civ
Fire-Rescue, Fire Prevention Supervisor/Civ
Fire-Rescue, Fire Recruit
Fire-Rescue, Fire Captain(Emer Mgmt. Coord)
Fire-Rescue, Fire Dispatch Supv
Fire-Rescue, Fire Prevention Supv
Fire-Rescue, Fire Prevention Supv/Civ
Fire-Rescue, Police Detective
Fire-Rescue, Assistant To The Fire Chief
Fire-Rescue, Police Officer 2
Fire-Rescue, Asst Fire Chief
Fire-Rescue, Asst Fire Marshal/Civ
Fire-Rescue, Asst to the Fire Chief
Fire-Rescue, Fire Captain(Emer Mgmt Coord)
Fire-Rescue, Fire Prevention Inspctr 2
Fire-Rescue, Fire Prevention Inspctr 2/Civ
Fire-Rescue, Fire Captain(Emergency Management Coordinator)
Fire-Rescue, Fire Prevention Inspector II/Civ
Fire-Rescue, Firefighter I
Fire-Rescue, Firefighter II
Fire-Rescue, Firefighter III
Fire-Rescue, Police Officer II
Fire-Rescue, Asst To The Fire Chief
Office Of Homeland Security, Police Sergeant
Office Of Homeland Security, Police Lieutenant
Office Of Homeland Security, Police Officer II
Office Of Homeland Security, Police Officer 2
Office Of Homeland Security, Assistant Fire Chief
Office Of Homeland Security, Asst Fire Chief
Retirement, Deputy City Attorney - Unrepresented
Fire Emergency Ops, Fire Battalion  Chief
Fire Emergency Ops, Fire Captain
Fire Emergency Ops, Fire Division Chief
Fire Emergency Ops, Fire Engineer
Fire Emergency Ops, Paramedic Firefighter
Fire Emergency Ops, Fire Captain Specialist - Of
Fire Emergency Ops, Paramedic Firefighter - Os
Fire Emergency Ops, Assistant Fire Chief
Fire Emergency Ops, Fire Battalion Chief
Fire Emergency Ops, Fire Captain - Admin Assignment
Fire Emergency Prep, Fire Battalion  Chief
Police Field Operations, Police Captain
Police Field Operations, Police Communications Manager
Police Field Operations, Police Corporal
Police Field Operations, Police Lieutenant
Police Field Operations, Police Officer
Police Field Operations, Police Sergeant
Police Field Operations, Police Recruit
Police Field Operations, H/Ret Annuitant Police Officer
Police Field Operations, Police Sergeant -Of
Police Field Operations, Police Ranger
Police Field Operations, Hourly/Ret. Anuit. Police Ofc
Police Invstgtns & Info Svcs, Police Captain
Police Invstgtns & Info Svcs, Police Corporal
Police Invstgtns & Info Svcs, Police Lieutenant
Police Invstgtns & Info Svcs, Police Officer
Police Invstgtns & Info Svcs, Police Records Specialist II
Police Invstgtns & Info Svcs, Police Sergeant
Police Invstgtns & Info Svcs, Police Records Specialist I
Police Invstgtns & Info Svcs, H/Ret Annuitant Police Officer
Police Invstgtns & Info Svcs, Police Records Specialist IIjs
Police Invstgtns & Info Svcs, Police Record Specialist II-Js
Police Invstgtns & Info Svcs, Police Records Specialist IIJS
Police Invstgtns & Info Svcs, Police Ranger
Police Invstgtns & Info Svcs, Police Rec Specialist I - Bf1
Police Invstgtns & Info Svcs, Police Records Specialist I - Js
Police Invstgtns & Info Svcs, Hourly/Ret. Anuit. Police Ofc
Police Invstgtns & Info Svcs, Police Administrative Manager
Police Pro Standards & Svcs, Police Corporal
Police Pro Standards & Svcs, Police Lieutenant
Police Pro Standards & Svcs, Police Officer
Police Pro Standards & Svcs, Police Sergeant
Police Pro Standards & Svcs, Police Captain
Rec Service Area 1, H/Preschool Instructor
Rec Service Area 1, Hourly/Preschool Instructor
Local Law Enforc Blk Grant Pro, Police Comm Relations Spec
Police Services, Director Of Police Services
Police Services, Police Commander
Police Services, Police Commander Relations Coordinator
Police Services, Police Dispatch/Records Assistant
Police Services, Police Dispatcher
Police Services, Police Officer
Police Services, Police Sergeant
Police Services, Police Services Officer I
Police Services, Police Services Officer II
Police Services, Police Support Service Supervisor
Police Services, Senior Police Officer
Police Services, Police Communications Relations Coordinator
Police Services, Police Support Services Supervisor
Police Services, Police Comm. Rela. Coordinator.
Police Services, Police Dispatch Temp
Police Services, Police Dispatch/Rec. Assistant
Police Services, Police Com. Relations Coordinator.
Police Services, Police Dispatch/Records Asst.
Police Services, Police Corporal
Police Services, Police Lieutenant
Police Services, Director of Police Services
Police Services, Police Com. Relations Coord.
Police Services, Police Captain
Police Services, Interim Director Of Police Services
Police Services, Police Dispatch Supervisor
Police Services, Police Support Services Manager
Police Services, Executive Assistant To The Police Chief
Police Services, Police Records Specialist
Fire-Operations, Deputy Fire Marshal
Fire-Operations, Fire Battalion Chief
Fire-Operations, Fire Captain
Fire-Operations, Fire Engineer
Fire-Operations, Fire Inspector
Fire-Operations, Firefighter
Police Investigations & Info Services, Police Captain
Police Investigations & Info Services, Police Corporal
Police Investigations & Info Services, Police Lieutenant
Police Investigations & Info Services, Police Officer
Police Investigations & Info Services, Police Records Specialist II
Police Investigations & Info Services, Police Sergeant
Police Investigations & Info Services, Police Lieutenant - Pos 1731
Police Investigations & Info Services, Police Rec Specialist I - Bf1
Police Investigations & Info Services, Police Records Specialist IIjs
Police Investigations & Info Services, Police Records Specialist I
Police Investigations & Info Services, Police Rec Specialist II
Police Investigations & Info Services, Police Records Specialist II - Js
Police Pro Standards & Services, Police Lieutenant
Police Pro Standards & Services, Police Officer
Police Pro Standards & Services, Police Sergeant
Police Pro Standards & Services, Hourly/Ret. Anuit. Police Ofc
Police Pro Standards & Services, H/Ret Annuitant Police Officer
Local Law Enforcement Blk Grant Pro, Police Comm Relations Spec
Police Dept. Grants Fund, Police Agent
Police Dept. Grants Fund, Police Sergeant
Fire-Administration, Fire Captain
Fire-Administration, Fire Inspector
Dev. Services- Administration, Sr Engineer-Fire Protection
SDFD- Fire Rescue, Assistant Fire Chief
SDFD- Fire Rescue, Assistant Fire Marshal/Civil
SDFD- Fire Rescue, Assistant to the Fire Chief
SDFD- Fire Rescue, Deputy Fire Chief
SDFD- Fire Rescue, Fire Battalion Chief
SDFD- Fire Rescue, Fire Captain
SDFD- Fire Rescue, Fire Captain(Emergency Management Coordinator)
SDFD- Fire Rescue, Fire Chief
SDFD- Fire Rescue, Fire Dispatch Administrator
SDFD- Fire Rescue, Fire Dispatch Supervisor
SDFD- Fire Rescue, Fire Dispatcher
SDFD- Fire Rescue, Fire Engineer
SDFD- Fire Rescue, Fire Fighter II
SDFD- Fire Rescue, Fire Prevention Inspector II
SDFD- Fire Rescue, Fire Prevention Inspector II/Civil
SDFD- Fire Rescue, Fire Prevention Supervisor
SDFD- Fire Rescue, Fire Prevention Supervisor/Civil
SDFD- MAST, Fire Captain-Mast
SDFD- MAST, Fire Engineer-Mast
SDFD- Suppression, Deputy Fire Chief
SDFD- Suppression, Fire Battalion Chief
SDFD- Suppression, Fire Captain
SDFD- Suppression, Fire Engineer
SDFD- Suppression, Fire Fighter I
SDFD- Suppression, Fire Fighter II
SDFD- Suppression, Fire Fighter III
SDFD- Suppression, Fire Helicopter Pilot
Fire Operations, Fire Captain
Fire Operations, Fire Engineer
Fire Operations, Firefighter/Paramedic
Fire Operations, Fire Battalion Chief
Fire Operations, Firefighter/Paramedic I
Fire Operations, Firefighter/Paramedic II
Fire Operations, Firefighter/Paramedic III
Fire Operations, Probation Firefighter Medic
Fire Operations, Probationary Firefighter/Paramedic
Fire Operations, Administrative Fire Captain
Advanced Life Support Program, Fire Battalion Chief (112 HR)
Advanced Life Support Program, Fire Captain (112 HR)
Fire - Administration, Fire Inspector
Fire - Administration, Deputy Fire Marshal
Fire - Administration, Fire Chief
Fire - Administration, Fire Inspector II
Emergency Medical, Firefighter Paramedic
Fire Prevention/Admin, Deputy Fire Marshal I
Fire Prevention/Admin, Deputy Fire Marshal II
Fire Prevention/Admin, Fire Marshall
Fire Prevention/Admin, Senior Deputy Fire Marshal
Fire Prevention/Admin, Fire Marshal
Fire Prevention/Admin, Contract Deputy Fire Marshall I
Utilities, Police Lieutenant - Pos 1731
Local Law Enf Block Grant Pro, Police Comm Relations Spec
Fire Protection, Fire Captain
Fire Protection, Fire Captain/Paramedic
Fire Protection, Fire Chief
Fire Protection, Fire Engineer Paramedic
Fire Protection, Fire/Safety Inspector 11
Fire Protection, Firefighter/Paramedic
Ocean/Beach Safety, Firefighter/Paramedic
Ps Fire Protection, 4015 Asst Fire Marshall
Ps Fire Protection, 8045 Fire Chief
Ps Fire Protection, 8050 Fire Captain
Ps Fire Protection, 8055 Fire Captain/Paramedic
Ps Fire Protection, 8070 Fire Engineer Paramedic
Ps Fire Protection, 8090 Firefighter/Paramedic
Ps Fire Protection, 4015 Assistant Fire Marshall
Ps Fire Protection, 4015 Asst Fire Marsh
Ps Fire Protection, 8070 Fire Engr/Paramedic
Ps Fire Protection, 8055 Fire Captain/Pm
Ps Fire Protection, 8070 Fire Engr/Pm
Ps Fire Protection, 8085 Firefighter/Pmd Recruit
Ps Fire Protection, 8090 Firefighter/Pm
Ps Fire Protection, Asst Fire Marsh
Ps Fire Protection, Fire Captain/Pm
Ps Fire Protection, Fire Chief
Ps Fire Protection, Fire Engr/Pm
Ps Fire Protection, Firefighter/Pm
Safety Services, Deputy Fire Chief
Safety Services, Fire Battalion Chief
Safety Services, Fire Captain/Paramedic
Safety Services, Fire Chief
Safety Services, Fire Engineer/Paramedic
Safety Services, Fire Safety Inspector
Safety Services, Firefighter/Paramedic
Safety Services, Senior Fire Inspector
Fire Prevention/Administration, Contract Deputy Fire Marshal I
Fire Prevention/Administration, Deputy Fire Marshal I
Fire Prevention/Administration, Fire Marshal
Fire Prevention/Administration, Senior Deputy Fire Marshal
Public Safety Fire Protection, 4015 Assistant Fire Marshall
Public Safety Fire Protection, 8045 Fire Chief
Public Safety Fire Protection, 8055 Fire Captain/Paramedic
Public Safety Fire Protection, 8070 Fire Engineer/Paramedic
Public Safety Fire Protection, 8090 Firefighter/Paramedic
Office Of Emergency Services, Police Lieutenant
Fire Paramedics," ""Fire Fighter/Pm A"
Fire Paramedics, Fire Emergency Med Tech
Fire Prevention Bureau, Assistant Fire Marshall
Fire Prevention Bureau, Fire Inspector
Fire Prevention Bureau, Fire Marshall
Term, Fire Captain 5%
Term, Fire Captains 2.5%
Term, Fire Engineer 5%
Term, Paramedic/Firefighter
Term, Police Dispatcher I
Term, Police Dispatcher II
Term, Police Officer
Term, Police Officer 10%
Term, Police Officer 5%
Term, Police Officer 9%
Term, Police Records Specialist
Term, Police Records Supv
Term, Police Sergeant 15%
2400 - Fire Chief, 2701-Deputy Fire Chief
2401 - Fire Department, 4951-Fire Prevention Specialist
2401 - Fire Department, 6101-Firefighter / Paramedic
2401 - Fire Department, 6201-Fire Engineer / Paramedic
2401 - Fire Department, 6301-Fire Captain
2401 - Fire Department, 6302-Fire Captain (Shift)
Community Development Building, Building & Fire Inspector
El Cajon Terms, Fire Chief
El Cajon Terms, Fire Division Chief
El Cajon Terms, Police Lieutenant
Police Administration, Executive Assistant To Police Chief
Police Administration, Police Captain
Police Administration, Police Chief
Police Administration, Police Lieutenant
Police Communications, Police Dispatcher I
Police Communications, Police Dispatcher II
Police Communications, Police Dispatcher II Nightshift
Police Communications, Super Police Dispatcher
Police Communications, Super Police Dispatcher NS
Police Inspection Training, Police Lieutenant
Police Inspection Training, Police Officer
Police Inspection Training, Police Sergeant
Police Investigations, Police Lieutenant
Police Investigations, Police Officer
Police Investigations, Police Sergeant
Police Investigations, Police Services Officer I
Police Records, Police Records Manager
Police Records, Police Records Specialist
Police Records, Police Records Supervisor
Police SED/Traffic, Police Officer
Police SED/Traffic, Police Records Specialist
Police Special Operations Unit, Police Lieutenant
Police Special Operations Unit, Police Officer
Police Special Operations Unit, Police Sergeant
Police Special Operations Unit, Police Services Officer I
Police Special Operations Unit, Police Services Officer II
City Manager-Admin, Fire Prevention Specialist
